"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2024","317.30","314.20","317.30","312.30","5.15K","0.89%"
"01/19/2024","314.50","313.20","315.50","307.00","25.09K","0.32%"
"01/18/2024","313.50","309.30","315.20","305.60","12.58K","1.39%"
"01/17/2024","309.20","315.20","316.30","306.90","41.44K","-1.97%"
"01/16/2024","315.40","317.90","318.90","313.30","28.48K","-0.57%"
"01/15/2024","317.20","299.90","319.70","299.90","37.75K","5.87%"
"01/14/2024","299.60","302.20","306.70","299.00","12.23K","-0.86%"
"01/13/2024","302.20","297.50","303.00","291.20","8.26K","1.82%"
"01/12/2024","296.80","308.50","312.90","290.60","19.18K","-3.70%"
"01/11/2024","308.20","305.30","316.50","302.40","21.13K","0.92%"
"01/10/2024","305.40","301.00","309.90","290.20","18.94K","1.36%"
"01/09/2024","301.30","303.90","306.60","296.20","19.61K","-0.86%"
"01/08/2024","303.90","302.00","308.10","290.50","14.29K","0.50%"
"01/07/2024","302.40","307.40","309.70","300.50","6.59K","-1.56%"
"01/06/2024","307.20","316.90","317.30","300.40","12.27K","-3.15%"
"01/05/2024","317.20","323.30","326.90","309.80","15.54K","-1.92%"
"01/04/2024","323.40","315.90","324.10","311.40","15.04K","2.21%"
"01/03/2024","316.40","312.40","333.40","295.50","61.79K","1.48%"
"01/02/2024","311.80","313.50","321.10","307.40","15.64K","-0.67%"
"01/01/2024","313.90","312.20","315.90","307.10","9.00K","0.58%"
"12/31/2023","312.10","316.50","325.30","309.90","10.86K","-1.48%"
"12/30/2023","316.80","313.60","320.40","312.70","9.22K","0.96%"
"12/29/2023","313.80","323.40","325.50","308.50","23.11K","-2.76%"
"12/28/2023","322.70","323.40","337.60","320.40","38.81K","-0.31%"
"12/27/2023","323.70","297.70","324.00","285.70","37.58K","8.66%"
"12/26/2023","297.90","266.70","302.90","264.80","63.32K","11.66%"
"12/25/2023","266.80","264.60","268.00","262.00","7.92K","0.91%"
"12/24/2023","264.40","271.00","272.40","262.10","11.28K","-2.40%"
"12/23/2023","270.90","271.10","271.90","265.80","6.76K","0.04%"
"12/22/2023","270.80","272.00","276.10","265.10","19.23K","-0.26%"
"12/21/2023","271.50","260.10","274.50","256.40","21.69K","4.42%"
"12/20/2023","260.00","252.80","261.50","250.50","22.09K","2.93%"
"12/19/2023","252.60","241.50","254.50","241.40","45.18K","4.77%"
"12/18/2023","241.10","239.20","241.20","232.40","15.81K","0.79%"
"12/17/2023","239.20","244.30","244.40","239.00","9.91K","-2.17%"
"12/16/2023","244.50","245.10","248.00","243.70","12.13K","-0.24%"
"12/15/2023","245.10","253.00","253.00","243.60","16.86K","-3.20%"
"12/14/2023","253.20","252.10","253.90","248.40","15.29K","0.48%"
"12/13/2023","252.00","253.50","255.40","244.50","21.64K","-0.94%"
"12/12/2023","254.40","246.60","256.80","245.90","31.86K","3.12%"
"12/11/2023","246.70","239.80","246.80","228.70","45.92K","2.92%"
"12/10/2023","239.70","238.00","241.30","237.10","9.09K","0.93%"
"12/09/2023","237.50","239.30","245.10","236.60","19.28K","-0.59%"
"12/08/2023","238.90","233.10","239.80","232.30","16.12K","2.71%"
"12/07/2023","232.60","229.60","234.80","228.50","13.58K","1.44%"
"12/06/2023","229.30","231.30","234.80","229.20","15.11K","-0.78%"
