"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","0.9979","0.9980","0.9982","0.9975","289.45M","-0.01%"
"12/31/2024","0.9980","0.9981","0.9989","0.9980","489.86M","-0.01%"
"12/30/2024","0.9981","0.9981","0.9991","0.9972","930.59M","0.00%"
"12/29/2024","0.9981","0.9982","0.9985","0.9977","298.95M","-0.01%"
"12/28/2024","0.9982","0.9985","0.9985","0.9981","171.54M","-0.04%"
"12/27/2024","0.9985","0.9988","0.9989","0.9979","610.01M","-0.03%"
"12/26/2024","0.9988","0.9991","0.9994","0.9987","539.56M","-0.03%"
"12/25/2024","0.9991","0.9993","0.9993","0.9988","179.18M","-0.03%"
"12/24/2024","0.9993","0.9987","0.9995","0.9983","788.73M","0.07%"
"12/23/2024","0.9987","0.9990","0.9992","0.9983","734.85M","-0.03%"
"12/22/2024","0.9990","0.9994","0.9995","0.9987","516.13M","-0.04%"
"12/21/2024","0.9994","0.9995","0.9998","0.9993","518.26M","-0.01%"
"12/20/2024","0.9995","0.9991","0.9998","0.9983","1.16B","0.04%"
"12/19/2024","0.9991","0.9995","0.9996","0.9979","1.24B","-0.04%"
"12/18/2024","0.9995","1.0000","1.0002","0.9989","1.19B","-0.06%"
"12/17/2024","1.0000","1.0003","1.0004","0.9997","815.41M","-0.02%"
"12/16/2024","1.0002","0.9997","1.0005","0.9993","680.85M","0.06%"
"12/15/2024","0.9997","0.9998","0.9999","0.9994","248.16M","-0.02%"
"12/14/2024","0.9998","1.0002","1.0002","0.9998","186.82M","-0.03%"
"12/13/2024","1.0002","1.0001","1.0004","0.9998","846.97M","0.00%"
"12/12/2024","1.0001","1.0006","1.0007","1.0000","576.58M","-0.05%"
"12/11/2024","1.0006","1.0005","1.0011","1.0001","1.72B","0.02%"
"12/10/2024","1.0005","1.0004","1.0007","0.9999","766.64M","0.00%"
"12/09/2024","1.0004","1.0006","1.0010","0.9991","986.26M","-0.01%"
"12/08/2024","1.0006","1.0008","1.0008","1.0003","432.87M","-0.03%"
"12/07/2024","1.0008","1.0015","1.0015","1.0007","427.94M","-0.07%"
"12/06/2024","1.0015","1.0010","1.0019","1.0003","826.88M","0.04%"
"12/05/2024","1.0011","1.0014","1.0024","1.0002","1.02B","-0.03%"
"12/04/2024","1.0014","1.0007","1.0025","1.0002","674.56M","0.08%"
"12/03/2024","1.0007","1.0003","1.0008","0.9992","360.61M","0.03%"
"12/02/2024","1.0003","1.0006","1.0008","1.0000","624.94M","-0.02%"
"12/01/2024","1.0006","1.0006","1.0008","1.0001","210.33M","0.00%"
"11/30/2024","1.0006","1.0004","1.0006","1.0003","231.31M","0.01%"
"11/29/2024","1.0004","1.0001","1.0013","1.0000","398.41M","0.04%"
"11/28/2024","1.0000","1.0009","1.0011","1.0000","523.02M","-0.09%"
"11/27/2024","1.0009","0.9995","1.0015","0.9995","628.56M","0.14%"
"11/26/2024","0.9995","0.9999","1.0008","0.9993","409.38M","-0.04%"
"11/25/2024","0.9999","1.0010","1.0012","0.9996","617.81M","-0.10%"
"11/24/2024","1.0009","1.0009","1.0014","1.0003","457.31M","0.00%"
"11/23/2024","1.0009","1.0010","1.0026","1.0009","729.95M","-0.01%"
"11/22/2024","1.0010","1.0010","1.0013","1.0002","1.50B","0.01%"
"11/21/2024","1.0009","1.0007","1.0012","1.0000","664.47M","0.02%"
"11/20/2024","1.0007","1.0014","1.0016","1.0005","1.00B","-0.06%"
"11/19/2024","1.0014","1.0005","1.0015","1.0004","601.08M","0.09%"
"11/18/2024","1.0005","1.0001","1.0011","0.9998","370.16M","0.04%"
"11/17/2024","1.0001","1.0003","1.0005","0.9998","498.79M","-0.03%"
"11/16/2024","1.0003","1.0003","1.0006","1.0001","245.15M","0.00%"
"11/15/2024","1.0003","1.0000","1.0005","0.9997","422.41M","0.03%"
"11/14/2024","1.0000","1.0013","1.0013","0.9998","996.11M","-0.13%"
"11/13/2024","1.0013","1.0009","1.0025","1.0008","1.29B","0.04%"
"11/12/2024","1.0008","1.0012","1.0019","1.0002","1.12B","-0.03%"
"11/11/2024","1.0012","1.0006","1.0023","1.0005","851.11M","0.06%"
"11/10/2024","1.0006","1.0004","1.0011","1.0002","543.20M","0.02%"
"11/09/2024","1.0003","1.0006","1.0006","1.0002","378.34M","-0.03%"
"11/08/2024","1.0006","1.0007","1.0014","1.0005","1.39B","-0.01%"
"11/07/2024","1.0007","1.0008","1.0015","1.0002","997.05M","-0.01%"
"11/06/2024","1.0008","0.9999","1.0015","0.9999","865.94M","0.09%"
"11/05/2024","0.9999","0.9994","1.0000","0.9992","291.28M","0.05%"
"11/04/2024","0.9994","0.9996","0.9996","0.9989","399.84M","-0.03%"
"11/03/2024","0.9996","0.9997","0.9997","0.9995","108.65M","-0.01%"
"11/02/2024","0.9997","0.9994","0.9998","0.9994","109.41M","0.03%"
"11/01/2024","0.9994","0.9986","0.9997","0.9983","320.32M","0.08%"
"10/31/2024","0.9986","0.9997","0.9999","0.9981","286.53M","-0.12%"
"10/30/2024","0.9997","0.9997","0.9998","0.9995","255.34M","0.00%"
"10/29/2024","0.9997","0.9993","1.0000","0.9989","341.76M","0.04%"
"10/28/2024","0.9993","0.9987","0.9996","0.9984","460.42M","0.07%"
"10/27/2024","0.9987","0.9987","0.9989","0.9984","157.14M","0.00%"
"10/26/2024","0.9987","0.9980","0.9989","0.9980","229.25M","0.07%"
"10/25/2024","0.9980","0.9994","0.9995","0.9970","991.37M","-0.14%"
"10/24/2024","0.9994","0.9989","0.9995","0.9987","767.59M","0.05%"
"10/23/2024","0.9989","0.9993","0.9993","0.9985","687.18M","-0.04%"
"10/22/2024","0.9993","0.9995","0.9996","0.9991","428.43M","-0.03%"
"10/21/2024","0.9995","0.9997","0.9997","0.9990","292.12M","-0.01%"
"10/20/2024","0.9997","0.9998","0.9999","0.9996","86.03M","-0.01%"
"10/19/2024","0.9998","0.9999","0.9999","0.9996","66.93M","-0.01%"
"10/18/2024","0.9999","0.9997","1.0000","0.9995","329.42M","0.02%"
"10/17/2024","0.9997","0.9998","0.9998","0.9992","194.94M","-0.02%"
"10/16/2024","0.9998","0.9998","0.9999","0.9996","348.22M","0.00%"
"10/15/2024","0.9998","0.9997","0.9998","0.9993","341.78M","0.01%"
"10/14/2024","0.9996","0.9996","0.9998","0.9992","212.90M","0.01%"
"10/13/2024","0.9996","0.9997","0.9997","0.9995","112.43M","-0.02%"
"10/12/2024","0.9997","0.9996","0.9998","0.9995","98.50M","0.01%"
"10/11/2024","0.9996","0.9991","0.9999","0.9990","236.12M","0.06%"
"10/10/2024","0.9991","0.9991","0.9991","0.9986","297.83M","0.00%"
"10/09/2024","0.9991","0.9994","0.9995","0.9990","243.41M","-0.03%"
"10/08/2024","0.9994","0.9997","0.9998","0.9992","344.44M","-0.04%"
"10/07/2024","0.9997","0.9998","0.9999","0.9996","230.06M","-0.01%"
"10/06/2024","0.9998","0.9999","1.0000","0.9998","68.05M","-0.01%"
"10/05/2024","0.9999","1.0000","1.0000","0.9998","71.54M","0.00%"
"10/04/2024","0.9999","0.9998","1.0000","0.9996","316.86M","0.01%"
"10/03/2024","0.9998","0.9998","0.9999","0.9997","179.87M","0.01%"
"10/02/2024","0.9998","0.9998","1.0000","0.9996","342.22M","0.00%"
"10/01/2024","0.9998","0.9997","0.9999","0.9992","458.65M","0.00%"
"09/30/2024","0.9997","1.0001","1.0001","0.9996","248.96M","-0.04%"
"09/29/2024","1.0001","1.0001","1.0002","1.0000","84.94M","0.00%"
"09/28/2024","1.0001","1.0001","1.0001","1.0000","317.13M","0.00%"
"09/27/2024","1.0001","1.0001","1.0005","1.0000","382.93M","0.01%"
"09/26/2024","1.0001","0.9997","1.0001","0.9997","201.80M","0.03%"
"09/25/2024","0.9997","1.0000","1.0000","0.9997","166.87M","-0.02%"
"09/24/2024","0.9999","0.9999","1.0000","0.9997","156.26M","0.00%"
"09/23/2024","0.9999","1.0000","1.0000","0.9997","176.14M","0.00%"
"09/22/2024","0.9999","1.0001","1.0001","0.9997","117.52M","-0.01%"
"09/21/2024","1.0001","1.0001","1.0001","1.0000","126.29M","0.00%"
"09/20/2024","1.0000","1.0001","1.0001","0.9999","172.23M","-0.01%"
"09/19/2024","1.0001","1.0000","1.0003","1.0000","253.79M","0.01%"
"09/18/2024","1.0000","1.0001","1.0001","0.9998","146.28M","-0.01%"
"09/17/2024","1.0001","0.9998","1.0002","0.9997","211.14M","0.03%"
"09/16/2024","0.9998","0.9999","1.0001","0.9997","170.41M","-0.01%"
"09/15/2024","0.9999","1.0002","1.0002","0.9999","61.73M","-0.02%"
"09/14/2024","1.0001","1.0006","1.0006","1.0000","346.87M","-0.04%"
"09/13/2024","1.0006","0.9999","1.0006","0.9998","250.01M","0.07%"
"09/12/2024","0.9999","1.0001","1.0001","0.9997","291.25M","-0.01%"
"09/11/2024","1.0001","0.9999","1.0001","0.9997","176.69M","0.01%"
"09/10/2024","0.9999","1.0001","1.0001","0.9998","217.91M","-0.02%"
"09/09/2024","1.0001","0.9999","1.0001","0.9998","197.67M","0.02%"
"09/08/2024","0.9999","0.9998","0.9999","0.9997","73.20M","0.01%"
"09/07/2024","0.9998","0.9996","0.9999","0.9996","77.36M","0.02%"
"09/06/2024","0.9996","0.9996","0.9998","0.9989","298.86M","0.00%"
"09/05/2024","0.9996","0.9999","0.9999","0.9996","149.44M","-0.02%"
"09/04/2024","0.9999","0.9997","1.0001","0.9996","219.98M","0.01%"
"09/03/2024","0.9997","0.9999","0.9999","0.9996","167.64M","-0.01%"
"09/02/2024","0.9998","0.9999","1.0000","0.9997","127.36M","-0.01%"
"09/01/2024","0.9999","0.9998","1.0000","0.9997","93.10M","0.01%"
"08/31/2024","0.9998","0.9998","0.9999","0.9997","79.02M","0.00%"
"08/30/2024","0.9998","1.0001","1.0001","0.9997","187.71M","-0.02%"
"08/29/2024","1.0001","1.0001","1.0002","1.0000","191.94M","-0.01%"
"08/28/2024","1.0001","1.0002","1.0002","0.9999","227.31M","0.00%"
"08/27/2024","1.0001","1.0002","1.0002","0.9998","227.87M","-0.01%"
"08/26/2024","1.0002","1.0004","1.0004","1.0000","217.51M","-0.01%"
"08/25/2024","1.0003","1.0003","1.0006","1.0003","133.13M","0.01%"
"08/24/2024","1.0003","1.0007","1.0007","1.0002","186.64M","-0.04%"
"08/23/2024","1.0007","1.0001","1.0008","0.9998","274.18M","0.06%"
"08/22/2024","1.0000","1.0002","1.0003","1.0000","263.71M","-0.01%"
"08/21/2024","1.0002","1.0000","1.0003","1.0000","269.38M","0.01%"
"08/20/2024","1.0000","1.0003","1.0006","1.0000","345.85M","-0.02%"
"08/19/2024","1.0002","1.0001","1.0007","1.0000","196.21M","0.02%"
"08/18/2024","1.0001","1.0001","1.0002","1.0000","107.63M","0.00%"
"08/17/2024","1.0001","1.0002","1.0002","1.0000","223.58M","-0.02%"
"08/16/2024","1.0002","1.0002","1.0004","0.9999","253.74M","0.00%"
"08/15/2024","1.0002","1.0002","1.0003","0.9998","211.10M","0.01%"
"08/14/2024","1.0002","1.0003","1.0006","1.0000","413.34M","-0.01%"
"08/13/2024","1.0003","1.0002","1.0004","1.0000","482.31M","0.01%"
"08/12/2024","1.0001","1.0001","1.0004","1.0000","226.26M","0.01%"
"08/11/2024","1.0001","1.0002","1.0003","1.0001","80.33M","-0.01%"
"08/10/2024","1.0001","1.0004","1.0004","1.0001","121.27M","-0.02%"
"08/09/2024","1.0003","1.0002","1.0005","1.0001","184.14M","0.01%"
"08/08/2024","1.0002","1.0001","1.0006","1.0001","465.57M","0.01%"
"08/07/2024","1.0001","1.0004","1.0006","1.0000","422.03M","-0.02%"
"08/06/2024","1.0003","1.0003","1.0008","1.0001","482.95M","0.01%"
"08/05/2024","1.0003","0.9996","1.0009","0.9993","631.41M","0.07%"
"08/04/2024","0.9996","0.9994","0.9997","0.9990","172.16M","0.02%"
"08/03/2024","0.9994","0.9988","0.9995","0.9986","129.76M","0.06%"
"08/02/2024","0.9988","0.9991","0.9993","0.9987","184.94M","-0.02%"
"08/01/2024","0.9990","0.9997","0.9997","0.9988","235.51M","-0.07%"
"07/31/2024","0.9997","0.9997","0.9998","0.9995","167.95M","0.00%"
"07/30/2024","0.9997","0.9998","0.9999","0.9995","216.92M","-0.02%"
"07/29/2024","0.9998","1.0000","1.0000","0.9996","416.12M","-0.01%"
"07/28/2024","1.0000","1.0000","1.0000","0.9998","149.24M","0.00%"
"07/27/2024","0.9999","1.0000","1.0003","0.9998","134.47M","-0.01%"
"07/26/2024","1.0000","0.9997","1.0001","0.9997","223.41M","0.04%"
"07/25/2024","0.9997","0.9998","1.0000","0.9995","242.05M","-0.01%"
"07/24/2024","0.9998","1.0001","1.0002","0.9998","239.12M","-0.03%"
"07/23/2024","1.0001","1.0003","1.0005","0.9983","296.60M","-0.02%"
"07/22/2024","1.0003","1.0001","1.0004","0.9999","279.00M","0.03%"
"07/21/2024","1.0001","1.0003","1.0006","1.0000","237.65M","-0.03%"
"07/20/2024","1.0003","1.0005","1.0006","1.0003","235.89M","-0.02%"
"07/19/2024","1.0005","0.9998","1.0007","0.9996","280.58M","0.07%"
"07/18/2024","0.9998","1.0000","1.0002","0.9997","192.45M","-0.02%"
"07/17/2024","1.0000","1.0005","1.0005","0.9999","323.15M","-0.05%"
"07/16/2024","1.0005","1.0005","1.0006","1.0001","362.35M","0.00%"
"07/15/2024","1.0005","1.0003","1.0009","1.0001","351.61M","0.02%"
"07/14/2024","1.0003","1.0003","1.0004","1.0002","102.83M","0.00%"
"07/13/2024","1.0002","1.0002","1.0003","1.0000","93.08M","0.00%"
"07/12/2024","1.0002","1.0000","1.0003","0.9999","171.25M","0.02%"
"07/11/2024","1.0000","0.9999","1.0001","0.9998","156.33M","0.01%"
"07/10/2024","0.9999","1.0000","1.0002","0.9998","130.94M","-0.01%"
"07/09/2024","1.0000","0.9999","1.0001","0.9997","129.34M","0.01%"
"07/08/2024","0.9999","0.9998","1.0001","0.9996","197.39M","0.01%"
"07/07/2024","0.9998","1.0001","1.0001","0.9997","80.99M","-0.02%"
"07/06/2024","1.0001","1.0000","1.0001","0.9999","98.10M","0.01%"
"07/05/2024","1.0000","0.9997","1.0001","0.9995","321.41M","0.03%"
"07/04/2024","0.9997","0.9989","0.9997","0.9989","128.58M","0.07%"
"07/03/2024","0.9989","0.9985","0.9990","0.9983","244.52M","0.05%"
"07/02/2024","0.9985","0.9990","0.9990","0.9981","272.63M","-0.05%"
"07/01/2024","0.9990","0.9983","0.9990","0.9983","242.81M","0.06%"
"06/30/2024","0.9983","0.9984","0.9986","0.9972","273.92M","0.00%"
"06/29/2024","0.9983","0.9980","0.9987","0.9980","611.42M","0.03%"
"06/28/2024","0.9980","0.9985","0.9991","0.9979","467.68M","-0.06%"
"06/27/2024","0.9986","0.9994","0.9994","0.9983","678.87M","-0.07%"
"06/26/2024","0.9993","0.9998","0.9999","0.9991","563.31M","-0.05%"
"06/25/2024","0.9998","0.9993","0.9999","0.9992","413.21M","0.05%"
"06/24/2024","0.9993","0.9993","0.9996","0.9992","256.93M","0.00%"
"06/23/2024","0.9993","0.9996","0.9996","0.9992","120.73M","-0.03%"
"06/22/2024","0.9995","0.9995","0.9997","0.9993","82.45M","0.01%"
"06/21/2024","0.9995","0.9994","0.9995","0.9991","228.57M","0.01%"
"06/20/2024","0.9994","0.9996","0.9997","0.9991","224.58M","-0.02%"
"06/19/2024","0.9996","0.9995","0.9999","0.9994","225.52M","0.01%"
"06/18/2024","0.9995","0.9996","0.9999","0.9994","229.48M","-0.01%"
"06/17/2024","0.9996","0.9993","0.9996","0.9990","177.37M","0.03%"
"06/16/2024","0.9993","0.9994","0.9994","0.9990","81.95M","-0.01%"
"06/15/2024","0.9994","0.9995","0.9995","0.9992","127.54M","-0.01%"
"06/14/2024","0.9995","0.9995","0.9997","0.9991","188.26M","-0.01%"
"06/13/2024","0.9995","0.9997","1.0000","0.9995","164.82M","-0.01%"
"06/12/2024","0.9997","0.9999","1.0002","0.9995","175.95M","-0.02%"
"06/11/2024","0.9999","0.9995","0.9999","0.9990","218.91M","0.03%"
"06/10/2024","0.9995","0.9999","0.9999","0.9995","112.74M","-0.03%"
"06/09/2024","0.9998","0.9998","0.9999","0.9998","70.21M","-0.01%"
"06/08/2024","0.9999","0.9996","1.0000","0.9995","80.20M","0.04%"
"06/07/2024","0.9996","0.9996","0.9998","0.9989","205.89M","-0.01%"
"06/06/2024","0.9996","1.0000","1.0001","0.9995","183.03M","-0.04%"
"06/05/2024","1.0000","1.0000","1.0001","0.9995","177.54M","0.00%"
"06/04/2024","1.0000","0.9998","1.0000","0.9996","135.13M","0.02%"
"06/03/2024","0.9998","0.9995","0.9999","0.9992","165.49M","0.04%"
"06/02/2024","0.9995","0.9992","0.9995","0.9991","49.06M","0.03%"
"06/01/2024","0.9992","0.9990","0.9992","0.9988","38.00M","0.02%"
"05/31/2024","0.9990","0.9997","0.9999","0.9985","222.52M","-0.07%"
"05/30/2024","0.9997","0.9987","0.9998","0.9987","151.82M","0.10%"
"05/29/2024","0.9987","0.9990","0.9994","0.9987","152.21M","-0.03%"
"05/28/2024","0.9990","0.9992","0.9993","0.9986","226.74M","-0.03%"
"05/27/2024","0.9992","0.9995","0.9995","0.9989","89.02M","-0.03%"
"05/26/2024","0.9995","0.9998","0.9999","0.9993","97.72M","-0.02%"
"05/25/2024","0.9998","0.9997","0.9999","0.9996","83.23M","0.00%"
"05/24/2024","0.9997","0.9995","0.9999","0.9991","262.93M","0.03%"
"05/23/2024","0.9995","0.9995","0.9997","0.9988","276.73M","-0.01%"
"05/22/2024","0.9995","0.9998","1.0000","0.9995","156.81M","-0.03%"
"05/21/2024","0.9998","1.0001","1.0002","0.9994","304.01M","-0.03%"
"05/20/2024","1.0001","0.9999","1.0006","0.9999","253.68M","0.02%"
"05/19/2024","0.9999","1.0002","1.0002","0.9999","99.44M","-0.02%"
"05/18/2024","1.0002","1.0003","1.0005","1.0001","147.36M","-0.02%"
"05/17/2024","1.0003","1.0001","1.0004","1.0000","156.11M","0.03%"
"05/16/2024","1.0001","1.0003","1.0005","0.9998","242.84M","-0.03%"
"05/15/2024","1.0003","0.9995","1.0008","0.9993","204.17M","0.08%"
"05/14/2024","0.9995","0.9998","0.9998","0.9992","129.31M","-0.03%"
"05/13/2024","0.9998","0.9995","1.0000","0.9995","149.89M","0.03%"
"05/12/2024","0.9995","0.9997","0.9997","0.9995","41.90M","-0.02%"
"05/11/2024","0.9997","0.9998","0.9998","0.9995","49.20M","0.00%"
"05/10/2024","0.9998","0.9999","1.0000","0.9995","147.15M","-0.01%"
"05/09/2024","0.9998","0.9996","0.9999","0.9994","125.08M","0.03%"
"05/08/2024","0.9996","1.0000","1.0000","0.9996","117.21M","-0.04%"
