"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2021","167.85","172.77","172.77","165.08","879.03K","-2.58%"
"06/09/2021","172.29","160.39","172.29","154.89","1.14M","7.31%"
"06/08/2021","160.56","161.09","161.42","150.27","1.42M","-0.83%"
"06/07/2021","161.91","176.51","181.34","161.91","1.04M","-8.15%"
"06/06/2021","176.28","172.96","178.64","172.96","677.22K","1.90%"
"06/05/2021","173.00","178.57","183.39","171.89","846.15K","-3.18%"
"06/04/2021","178.69","193.54","193.54","172.43","1.13M","-7.39%"
"06/03/2021","192.95","186.97","195.16","183.89","1.08M","3.07%"
"06/02/2021","187.20","182.99","189.06","180.35","976.89K","2.33%"
"06/01/2021","182.93","188.81","189.95","178.84","1.08M","-2.78%"
"05/31/2021","188.17","168.68","188.17","165.12","1.24M","10.42%"
"05/30/2021","170.42","163.68","176.85","157.92","1.12M","4.20%"
"05/29/2021","163.55","177.33","186.27","159.53","1.55M","-7.67%"
"05/28/2021","177.14","193.98","193.98","169.65","2.12M","-8.18%"
"05/27/2021","192.93","198.51","205.74","183.80","1.46M","-2.94%"
"05/26/2021","198.77","184.32","200.69","184.32","1.54M","8.21%"
"05/25/2021","183.69","185.21","185.21","171.93","1.98M","-0.23%"
"05/24/2021","184.12","143.22","184.12","143.22","2.49M","29.21%"
"05/23/2021","142.50","168.96","173.50","127.99","3.85M","-15.86%"
"05/22/2021","169.37","179.83","181.91","163.48","1.98M","-5.86%"
"05/21/2021","179.92","210.58","217.18","172.85","3.00M","-15.04%"
"05/20/2021","211.77","189.91","222.69","182.03","4.27M","13.86%"
"05/19/2021","185.99","294.05","294.05","176.54","6.73M","-36.81%"
"05/18/2021","294.33","282.45","313.44","282.45","2.56M","4.58%"
"05/17/2021","281.44","296.00","296.00","265.66","2.08M","-5.02%"
"05/16/2021","296.31","300.80","323.04","281.08","1.69M","-1.12%"
"05/15/2021","299.66","326.07","330.18","299.66","1.49M","-8.20%"
"05/14/2021","326.41","316.36","333.54","313.18","1.48M","2.79%"
"05/13/2021","317.56","313.69","331.33","302.22","2.98M","2.78%"
"05/12/2021","308.98","377.31","387.19","308.98","2.54M","-18.23%"
"05/11/2021","377.87","358.36","377.87","348.45","2.03M","5.16%"
"05/10/2021","359.32","389.55","401.47","350.77","3.83M","-7.38%"
"05/09/2021","387.96","347.63","387.96","337.89","2.29M","11.80%"
"05/08/2021","347.02","345.35","351.86","341.04","1.33M","0.38%"
"05/07/2021","345.71","354.59","365.84","340.08","2.82M","-2.17%"
"05/06/2021","353.38","356.63","357.40","329.94","2.75M","-0.67%"
"05/05/2021","355.75","331.32","355.75","330.69","3.75M","14.15%"
"05/04/2021","311.64","296.12","320.40","276.92","3.88M","5.76%"
"05/03/2021","294.67","268.64","294.67","268.64","1.43M","9.56%"
"05/02/2021","268.95","277.31","277.31","267.75","656.44K","-2.83%"
"05/01/2021","276.79","271.18","276.79","268.71","759.70K","2.13%"
"04/30/2021","271.01","255.29","271.01","254.77","1.04M","6.10%"
"04/29/2021","255.43","258.71","258.71","251.46","877.66K","-1.22%"
"04/28/2021","258.58","261.18","264.29","252.99","1.01M","-0.48%"
"04/27/2021","259.82","246.54","261.07","246.54","1.11M","5.01%"
"04/26/2021","247.42","223.31","247.42","223.31","1.24M","10.67%"
"04/25/2021","223.57","225.81","232.63","216.21","928.52K","-0.60%"
"04/24/2021","224.93","241.32","241.32","224.69","1.15M","-6.82%"
"04/23/2021","241.39","252.78","252.78","227.60","2.87M","-4.52%"
"04/22/2021","252.83","259.12","284.08","252.83","2.86M","-1.93%"
"04/21/2021","257.80","261.19","274.75","255.78","1.84M","-1.23%"
"04/20/2021","261.00","262.52","270.61","247.42","2.11M","-0.14%"
"04/19/2021","261.36","274.43","280.56","253.51","1.97M","-4.27%"
"04/18/2021","273.02","302.63","302.63","244.40","3.35M","-9.57%"
"04/17/2021","301.91","308.58","327.13","301.91","2.57M","-2.31%"
"04/16/2021","309.04","287.02","316.28","276.00","3.15M","8.13%"
"04/15/2021","285.81","280.09","286.13","270.00","1.41M","2.53%"
"04/14/2021","278.76","267.56","280.67","264.46","1.99M","4.26%"
"04/13/2021","267.37","245.08","269.62","245.08","1.93M","9.40%"
"04/12/2021","244.39","252.72","256.20","243.99","1.37M","-3.14%"
"04/11/2021","252.31","256.95","259.56","247.44","1.89M","-1.61%"
"04/10/2021","256.43","221.14","256.43","220.91","1.86M","16.12%"
"04/09/2021","220.83","226.36","227.18","220.83","689.19K","-2.48%"
"04/08/2021","226.44","219.10","226.44","219.10","1.07M","3.33%"
"04/07/2021","219.15","237.56","240.05","216.07","2.26M","-7.48%"
"04/06/2021","236.87","222.20","241.25","219.26","2.45M","7.14%"
"04/05/2021","221.08","202.77","221.08","198.88","1.33M","9.31%"
"04/04/2021","202.25","195.07","202.93","195.07","565.48K","3.58%"
"04/03/2021","195.26","211.77","215.32","195.26","955.94K","-7.83%"
"04/02/2021","211.84","203.72","211.84","201.12","942.91K","4.70%"
"04/01/2021","202.33","197.51","202.99","195.38","876.54K","2.85%"
"03/31/2021","196.72","195.69","196.72","189.32","698.22K","0.51%"
"03/30/2021","195.72","194.26","199.31","190.84","932.22K","0.99%"
"03/29/2021","193.80","184.32","196.35","184.32","904.76K","5.16%"
"03/28/2021","184.29","184.06","185.52","181.07","380.62K","0.13%"
"03/27/2021","184.05","183.85","185.46","179.67","475.86K","0.33%"
"03/26/2021","183.45","171.53","183.45","171.53","721.82K","6.90%"
"03/25/2021","171.61","175.64","176.60","170.35","957.19K","-2.53%"
"03/24/2021","176.07","185.83","196.79","176.07","1.19M","-5.44%"
"03/23/2021","186.19","185.65","188.18","182.56","638.93K","0.25%"
"03/22/2021","185.72","195.81","197.13","185.72","726.25K","-4.93%"
"03/21/2021","195.35","200.16","200.63","193.65","581.84K","-2.24%"
"03/20/2021","199.82","200.19","204.33","199.82","473.42K","-0.12%"
"03/19/2021","200.06","199.97","202.97","199.86","536.73K","0.16%"
"03/18/2021","199.74","206.77","207.21","199.74","776.25K","-3.01%"
"03/17/2021","205.93","201.70","205.93","195.20","885.68K","2.12%"
"03/16/2021","201.65","200.89","203.58","196.71","1.06M","0.53%"
"03/15/2021","200.59","214.82","219.89","200.59","1.41M","-6.37%"
"03/14/2021","214.24","225.83","225.83","214.24","805.33K","-5.34%"
"03/13/2021","226.32","220.99","228.36","215.78","1.33M","2.59%"
"03/12/2021","220.61","202.28","221.84","202.28","2.08M","9.55%"
"03/11/2021","201.37","200.29","201.84","192.56","981.52K","0.45%"
"03/10/2021","200.46","204.63","206.85","194.56","1.42M","-1.60%"
"03/09/2021","203.72","192.51","203.72","190.40","1.28M","6.26%"
"03/08/2021","191.71","190.84","193.17","182.43","1.17M","0.55%"
"03/07/2021","190.67","183.37","190.67","183.37","819.53K","4.40%"
"03/06/2021","182.64","180.33","183.30","177.90","936.73K","1.21%"
"03/05/2021","180.45","180.61","180.90","170.04","1.18M","-0.04%"
"03/04/2021","180.53","187.59","192.16","180.12","1.49M","-3.98%"
"03/03/2021","188.02","178.15","194.56","178.15","1.87M","5.19%"
"03/02/2021","178.74","175.95","182.10","172.02","1.44M","1.57%"
"03/01/2021","175.97","165.48","175.97","163.79","1.22M","6.55%"
"02/28/2021","165.15","171.72","171.72","156.99","1.68M","-3.84%"
"02/27/2021","171.74","170.29","177.06","170.29","1.11M","1.01%"
"02/26/2021","170.02","179.10","179.10","162.87","2.18M","-5.33%"
"02/25/2021","179.60","181.34","200.91","177.28","1.96M","-0.99%"
"02/24/2021","181.39","177.82","188.67","177.09","1.83M","2.12%"
"02/23/2021","177.62","208.31","208.31","165.02","3.67M","-14.61%"
"02/22/2021","208.01","227.10","227.10","201.31","2.56M","-8.45%"
"02/21/2021","227.22","226.61","231.44","223.56","1.27M","0.02%"
"02/20/2021","227.18","237.25","245.06","227.18","1.70M","-3.95%"
"02/19/2021","236.53","227.86","241.45","223.13","1.40M","4.34%"
"02/18/2021","226.69","237.67","238.01","226.25","1.58M","-4.39%"
"02/17/2021","237.11","223.48","237.11","222.95","1.84M","387.08%"
"09/13/2020","48.68","50.80","51.02","48.68","545.03K","-4.17%"
"09/12/2020","50.80","48.95","51.00","48.67","452.36K","3.78%"
"09/11/2020","48.95","48.65","48.95","48.01","367.15K","0.55%"
"09/10/2020","48.68","47.87","49.05","47.87","475.21K","1.76%"
"09/09/2020","47.84","47.44","48.56","46.74","378.95K","0.82%"
"09/08/2020","47.45","48.88","48.88","46.66","759.91K","-2.85%"
"09/07/2020","48.84","47.92","48.84","45.39","826.65K","2.01%"
"09/06/2020","47.88","47.75","48.79","47.44","653.87K","0.17%"
"09/05/2020","47.80","50.37","50.37","47.03","1.35M","-5.12%"
"09/04/2020","50.38","47.31","51.11","46.97","1.48M","6.29%"
"09/03/2020","47.40","58.00","58.00","47.40","1.32M","-18.36%"
"09/02/2020","58.06","62.68","62.85","57.85","934.04K","-7.37%"
"09/01/2020","62.68","61.01","63.75","60.53","972.58K","2.89%"
"08/31/2020","60.92","63.00","63.00","60.72","680.20K","-3.09%"
"08/30/2020","62.86","56.94","62.86","56.94","839.21K","10.36%"
"08/29/2020","56.96","57.40","57.81","56.96","408.19K","-0.70%"
"08/28/2020","57.36","56.17","57.99","56.17","644.93K","2.25%"
"08/27/2020","56.10","58.13","58.48","55.27","975.87K","-3.44%"
"08/26/2020","58.10","58.31","58.60","57.18","663.39K","-0.34%"
"08/25/2020","58.30","62.06","62.06","56.85","1.17M","-6.03%"
"08/24/2020","62.04","60.58","62.40","60.28","687.32K","2.53%"
"08/23/2020","60.51","60.27","61.40","58.42","629.72K","0.48%"
"08/22/2020","60.22","59.19","60.32","58.55","735.65K","1.95%"
"08/21/2020","59.07","62.79","62.98","59.07","1.05M","-5.91%"
"08/20/2020","62.78","62.14","63.10","61.42","868.20K","1.27%"
"08/19/2020","61.99","65.40","65.64","60.10","1.70M","-5.34%"
"08/18/2020","65.49","67.18","67.80","65.45","1.56M","-2.54%"
"08/17/2020","67.20","63.95","68.18","62.87","1.79M","5.18%"
"08/16/2020","63.89","59.83","63.89","59.83","1.58M","6.73%"
"08/15/2020","59.86","56.92","60.28","56.92","1.14M","5.42%"
"08/14/2020","56.78","57.21","57.63","56.11","728.29K","-0.54%"
"08/13/2020","57.09","54.53","57.09","53.28","837.49K","4.91%"
"08/12/2020","54.42","54.11","54.73","53.53","644.39K","0.48%"
"08/11/2020","54.16","58.27","58.65","53.55","887.51K","-7.05%"
"08/10/2020","58.27","56.98","58.45","56.98","651.67K","2.32%"
"08/09/2020","56.95","58.53","58.53","56.49","369.31K","-2.58%"
"08/08/2020","58.46","57.09","58.46","56.91","428.02K","2.26%"
"08/07/2020","57.17","59.02","60.22","57.03","898.05K","-3.18%"
"08/06/2020","59.05","58.88","60.24","58.15","822.49K","0.32%"
"08/05/2020","58.86","57.70","59.35","57.35","716.10K","2.17%"
"08/04/2020","57.61","58.48","59.23","57.18","625.61K","-1.49%"
"08/03/2020","58.48","56.78","59.63","56.78","824.89K","3.05%"
"08/02/2020","56.75","61.62","63.91","56.52","1.81M","-7.95%"
"08/01/2020","61.65","58.26","61.65","58.26","1.21M","6.04%"
"07/31/2020","58.14","56.86","58.48","56.09","656.37K","2.56%"
"07/30/2020","56.69","54.40","57.34","54.40","1.02M","2.70%"
"07/29/2020","55.20","55.81","56.10","55.20","820.95K","-1.04%"
"07/28/2020","55.78","53.31","56.95","53.12","1.52M","4.61%"
"07/27/2020","53.32","48.09","54.20","47.79","1.50M","10.85%"
"07/26/2020","48.10","49.07","50.71","48.10","895.76K","-2.16%"
"07/25/2020","49.16","44.15","49.16","44.15","908.34K","11.45%"
"07/24/2020","44.11","44.90","44.90","44.11","246.80K","-1.83%"
"07/23/2020","44.93","44.99","45.34","44.67","432.53K","-0.13%"
"07/22/2020","44.99","43.74","44.99","43.46","335.63K","2.74%"
"07/21/2020","43.79","41.92","43.89","41.92","314.42K","4.41%"
"07/20/2020","41.94","42.68","42.68","41.92","180.28K","-1.66%"
"07/19/2020","42.65","42.46","42.65","42.12","195.43K","0.47%"
"07/18/2020","42.45","41.86","42.73","41.81","171.48K","1.34%"
